Var1_1,Var1_2,Var1_3,Var1_4,Var1_5
-64519.5639348275,-14546.9643899513,-4535.48890764039,-2130.45660389408,31.41635516
-64519.5639348271,-14546.9643899513,-4535.48890764047,-2130.45660389404,34.8927704
-64433.9403327252,-14060.8108689561,-3644.83453432231,-1846.2081423823,38.10284657
-64362.3402589811,-13764.651874981,-3136.51380372386,-1634.04383962294,41.06102301
-64400.5684293528,-13791.7385567813,-3208.81305154663,-1423.36483926072,43.78119133
-64387.9698651897,-13737.1397025966,-3146.43655221205,-1345.11970196925,46.27671037
-64376.6584066636,-13671.8611763768,-3054.9229570113,-1269.96947008491,48.56042098
-64359.2274956547,-13588.9059945059,-2936.46421656306,-1196.26073680591,50.64466037
-64394.0163318207,-13751.7617483604,-3115.03688935654,-1273.30728232887,52.54127629
-64381.1908413189,-13682.2146740617,-3014.36495296705,-1196.96916731379,54.26164088
-64373.2901193582,-13647.3693116137,-2966.68235894965,-1173.66273515566,55.81666418
-64359.1709120218,-13576.3881257377,-2863.69575272452,-1109.04204026886,57.21680745
-64387.7206582263,-13625.8238745742,-3018.7393750103,-1090.76901328376,58.47209617
-64379.6509810542,-13559.9982591207,-2942.28897156627,-1009.80582488081,59.59213275
-64371.2003628133,-13503.4841271898,-2873.37945225797,-952.88603380757,60.58610902
-64360.8592820414,-13444.8312457362,-2800.43114318328,-906.020043413302,61.46281844
-64350.9389543942,-13387.2322972468,-2731.56676699062,-855.112297512842,62.23066801
-64335.4834035048,-13299.5050683729,-2628.87817817336,-779.792356978147,62.89769001
-64309.3801007793,-13174.3311326332,-2480.50416570158,-689.565907247096,63.47155339
-64292.7714022685,-13093.7492260672,-2393.40306930826,-636.348737173989,63.959575
-64166.4233601479,-13066.5574980518,-2173.22200107011,-897.920109430725,64.36873051
-64170.4869900417,-13050.9450403762,-2174.18089234855,-872.827228439632,64.70566514
-64161.0091951845,-12997.7738615161,-2122.87445776345,-824.485108974317,64.9767041
