Var1_1,Var1_2,Var1_3,Var1_4,Var1_5
-64519.5639348275,-14546.9643899513,-4535.48890764039,-2130.45660389408,19.48369225
-64519.5639348271,-14546.9643899513,-4535.48890764047,-2130.45660389404,23.473047
-64433.9403327252,-14060.8108689561,-3644.83453432231,-1846.2081423823,27.17286849
-64362.3402589811,-13764.651874981,-3136.51380372386,-1634.04383962294,30.59930868
-64400.5684293528,-13791.7385567813,-3208.81305154663,-1423.36483926072,33.76786983
-64387.9698651897,-13737.1397025966,-3146.43655221205,-1345.11970196925,36.69342355
-64376.6584066636,-13671.8611763768,-3054.9229570113,-1269.96947008491,39.39022937
-64359.2274956547,-13588.9059945059,-2936.46421656306,-1196.26073680591,41.87195302
-64394.0163318207,-13751.7617483604,-3115.03688935654,-1273.30728232887,44.15168423
-64381.1908413189,-13682.2146740617,-3014.36495296705,-1196.96916731379,46.24195416
-64373.2901193582,-13647.3693116137,-2966.68235894965,-1173.66273515566,48.15475251
-64359.1709120218,-13576.3881257377,-2863.69575272452,-1109.04204026886,49.90154413
-64387.7206582263,-13625.8238745742,-3018.7393750103,-1090.76901328376,51.49328539
-64379.6509810542,-13559.9982591207,-2942.28897156627,-1009.80582488081,52.9404401
-64371.2003628133,-13503.4841271898,-2873.37945225797,-952.88603380757,54.25299511
-64360.8592820414,-13444.8312457362,-2800.43114318328,-906.020043413302,55.44047554
-64350.9389543942,-13387.2322972468,-2731.56676699062,-855.112297512842,56.51195964
-64335.4834035048,-13299.5050683729,-2628.87817817336,-779.792356978147,57.47609342
-64309.3801007793,-13174.3311326332,-2480.50416570158,-689.565907247096,58.34110474
-64292.7714022685,-13093.7492260672,-2393.40306930826,-636.348737173989,59.1148173
-64166.4233601479,-13066.5574980518,-2173.22200107011,-897.920109430725,59.80466414
-64170.4869900417,-13050.9450403762,-2174.18089234855,-872.827228439632,60.41770086
-64161.0091951845,-12997.7738615161,-2122.87445776345,-824.485108974317,60.96061858
-64147.3964957935,-12932.4822786357,-2059.55453451305,-766.709442164919,61.43975654
-64139.3355840744,-12895.7085062248,-2026.91745109166,-745.159947232562,61.86111439
-64126.8064175276,-12828.9417192896,-1965.64257255686,-685.334850846334,62.23036422
-64122.6959491342,-12811.705948643,-1951.60853463857,-678.650503663863,62.55286224
-64099.944156121,-12716.6137034084,-1862.60013659086,-606.491119942281,62.83366026
-64095.0132396655,-12684.0696239609,-1842.20615445123,-582.232171807102,63.07751676
-64080.4023174698,-12613.0813640905,-1784.2340250252,-528.474068575738,63.28890784
-64075.3549834034,-12573.6555203104,-1756.60212086258,-489.925139265037,63.47203771
-64055.5845043536,-12493.0714698718,-1690.99402639883,-440.633608045492,63.6308491
-64242.5063345412,-12896.4275694633,-2154.11173439858,-501.486222899032,63.76903326
-64220.9689929791,-12789.2693714362,-2057.54717135028,-427.818435758703,63.89003975
-64207.2425655698,-12705.5379697061,-1990.58309423619,-366.191033059454,63.99708603
-64191.283933395,-12662.6210289904,-1987.55888538413,-364.707295648198,64.09316671
-64186.8074515403,-12594.5623796724,-1904.1452538755,-290.684704597251,64.18106257
-64171.7785201258,-12511.5270583522,-1840.64753526297,-233.307351450943,64.26334943
-64162.2028366393,-12455.8327714261,-1804.21315333876,-199.891747059702,64.34240665
-64152.4326505803,-12398.3052146892,-1766.0679506226,-165.749317082743,64.42042549
-64149.3852794587,-12367.2767238355,-1752.31910146242,-143.115446772765,64.49941721
-64133.8550546235,-12290.9481538566,-1699.87298122514,-103.258571770442,64.58122094
-64129.35164851,-12257.7282640627,-1680.29582300108,-80.8365467321336,64.66751133
-64109.6658478293,-12161.3005770672,-1617.18864452664,-25.8142738293529,64.75980602
-64113.4795400272,-12153.370059431,-1624.26416879774,-14.8530590077867,64.85947284
-64095.4709141272,-12073.780733014,-1570.92321441213,20.0712707273953,64.96773684
-64092.3357662763,-12048.6424068209,-1561.27920442155,32.0660815433917,65.08568713
-64072.057422263,-11943.1672102081,-1498.67088272463,90.5492792833278,65.21428344
-64065.7745985748,-11918.4171266933,-1484.95756839595,93.9836146494795,65.35436259
-64046.5944053006,-11805.4501065345,-1431.54754074254,157.58683459263,65.50664473
-64042.7608061393,-11790.0993000099,-1424.41929916886,156.657586059463,65.67173932
-64027.8691707019,-11709.983145058,-1385.0894758434,199.801899628901,65.85015104
-64023.2990556252,-11657.8148650876,-1370.39866143058,236.342635241678,66.04228544
-64005.777138169,-11588.6203743919,-1331.31373431961,256.662509734566,66.24845443
-64007.4837539813,-11582.3151940288,-1335.2546594798,261.969337707572,66.46888163
-63993.0233854644,-11513.9324927244,-1299.94229047539,294.820886846539,66.70370749
-63976.0623138204,-11428.9080619548,-1264.75951842308,332.564516318684,66.95299431
-63957.0076605549,-11354.0189879785,-1228.79878031823,355.933887721705,67.21673103
-63938.0347414561,-11284.1738603897,-1207.36305796178,377.978058746581,67.4948379
-63921.8138074764,-11176.5607877834,-1158.49023189994,438.418566734923,67.787171
-63912.2539253919,-11137.4651793009,-1141.87607178191,451.572945599312,68.09352659
-63893.8373217132,-11037.6547008425,-1101.56402833455,505.546081112105,68.41364529
-63865.0165498662,-10932.7087665668,-1050.44889390143,538.258867554094,68.74721616
-63842.7522997062,-10850.0058595545,-1015.15358421681,564.425054187788,69.0938806
-63963.6990497663,-11884.1755915295,-1205.577969639,-30.373732390634,69.45323612
-63922.2539247943,-11660.0191158479,-1096.40293244832,104.858756987807,69.82483999
-63905.4302911961,-11587.9724589763,-1058.38255026509,139.89882104418,70.20821271
-63878.641685415,-11492.0518751459,-1007.06271542793,178.632458192749,70.60284141
-63855.9309169146,-11413.7202106494,-968.408410301678,205.787373353347,71.00818308
-63851.9776106129,-11406.7853067853,-968.736447706597,197.417382756293,71.42366764
-63834.664379058,-11343.9458370887,-939.804327902844,224.751332886587,71.84870103
-63810.1628297376,-11268.9129644853,-900.390806689467,245.548885774059,72.28266799
-63797.0144875181,-11218.0703741267,-884.41420017752,264.032629271565,72.72493484
-63761.2782066465,-11099.7844283161,-827.447170559461,306.54802812381,73.17485215
-63749.2982861554,-11062.9307017105,-815.519169145311,312.804782266506,73.63175725
-63723.1178021712,-10983.2708160301,-775.452259001096,338.878872471721,74.09497664
-63708.5995769333,-10936.0115302952,-763.675531583489,349.399028051239,74.56382831
-63686.3541052407,-10863.4547975413,-728.690470340114,376.370104764324,75.03762397
-63652.5581428022,-10760.8140897273,-688.128116966351,406.180822079471,75.51567114
-63634.7201481651,-10714.6999790936,-663.938947109841,418.10777330914,75.99727516
-63628.3216692845,-10741.1458602727,-722.710812471815,359.905517788719,76.48174113
-63586.7933471752,-10560.4918776819,-612.479572228814,467.966865345752,76.9683757
-63560.101473988,-10494.0262709953,-585.132787126877,477.212084863033,77.45648882
-63536.708887837,-10428.4747965228,-556.976804299971,498.475847018332,77.94539538
-63509.8469758637,-10354.7574609741,-534.913574991209,521.189050115949,78.43441676
-63483.4707054625,-10274.784148054,-510.76156501433,542.34454957327,78.92288232
-63467.4387139133,-10232.3735990608,-499.288772801018,554.088645102732,79.41013074
-63436.1236386809,-10120.3295131937,-463.805093601659,598.165336756239,79.89551141
-63421.1941262075,-10078.5730721091,-460.61127360023,604.02553031387,80.37838559
-63369.5747446684,-9966.31417294697,-431.888351991472,616.759360136344,80.8581276
-63354.4108013151,-9939.48224311075,-400.713594055426,618.289581199211,81.33412589
-63340.4797610856,-9926.91388063246,-391.690131453452,613.69514671166,81.80578408
-63317.0217331118,-9891.62054933443,-382.119451945874,602.556699219839,82.27252187
-63346.8051191031,-10003.1981178279,-415.369493340082,555.086595276643,82.73377594
-63391.7053395837,-10175.3206074924,-475.900653904821,475.891395040006,83.18900074
-63359.4835539631,-10101.0869101209,-450.58956026865,485.069261757952,83.63766927
-63374.7173397248,-11138.0120097339,-500.400791848458,-243.971840702196,84.07927373
-63247.5992742199,-10793.4777227115,-366.911060314862,-114.319274819871,84.51332619
-63236.4863734955,-10739.4917754667,-355.747320590759,-86.7433848178474,84.93935911
-63188.5531045233,-10590.2314460847,-307.281738156001,-17.5978731059916,85.35692589
-63153.306934218,-10511.7105327172,-281.890747572785,-2.50562584061806,85.76560133
-63109.2795097998,-10432.6171511648,-250.65458445633,8.05432889329086,86.16498203
-63074.7410254117,-10306.4851865264,-223.146299780772,64.57775275057,86.55468673
-63012.4152681543,-10174.9216560453,-173.21268067048,98.6489568496556,86.93435665
-62955.2806719133,-10085.1924231216,-134.497649148296,103.403712189444,87.30365573
-62898.1741007214,-9993.98976652911,-102.41451609877,109.821892337408,87.66227089
-62859.0317719087,-9880.84231558625,-74.1414024155663,154.547605873721,88.00991211
-62810.7014184591,-9781.69967145346,-35.9546821366887,189.271329343827,88.34631267
-62782.3443719966,-9742.43922146296,-27.2764464038365,179.229061086607,88.67122916
-62692.0924088515,-9582.57304375363,28.4742115752768,207.762024281439,88.98444158
-62626.9758393718,-9441.11459665149,65.1617849583726,250.067796348787,89.2857533
-62530.1485227157,-9245.66007448779,117.743382938664,290.573216995232,89.57499109
-62478.915656663,-9148.95916310235,178.167713672555,311.980036949727,89.85200505
-62364.0301751451,-8988.93148114386,205.813211810091,332.138703132769,90.11666848
-62312.9956051195,-8916.38891907284,222.734982325997,329.035611900259,90.3688778
-62171.8138713996,-8663.36542482659,282.035958671616,379.929913143461,90.60855238
